cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc
J1614.1+3425,MCXC-I,243.54791666666662,34.42361111111111,0.269,1.3573e+14,X-ray_Lx_scaling,0.7133
J1614.3-6052,MCXC-I,243.59375,-60.868611111111115,0.0157,2.136e+14,X-ray_Lx_scaling,0.9042
J1614.4+6825,MCXC-I,243.60374999999996,68.42805555555556,0.128,2.8400001e+13,X-ray_Lx_scaling,0.4451
J1615.5+1927,MCXC-I,243.89458333333332,19.46,0.0308,3.629e+13,X-ray_Lx_scaling,0.4985
J1615.7-0608,MCXC-I,243.94541666666666,-6.145833333333334,0.203,1.10518e+15,X-ray_Lx_scaling,1.4697
J1617.4+3456,MCXC-I,244.36333333333332,34.93666666666666,0.0315,6.7439996e+13,X-ray_Lx_scaling,0.6127
J1618.2+2938,MCXC-I,244.57416666666663,29.64,0.2993,3.0268e+14,X-ray_Lx_scaling,0.9215
J1619.0+3230,MCXC-I,244.7670833333333,32.51166666666666,0.274,1.3447e+14,X-ray_Lx_scaling,0.7098
J1620.3+1723,MCXC-I,245.08999999999995,17.38861111111111,0.112,4.6369998e+13,X-ray_Lx_scaling,0.527
J1620.5+2953,MCXC-I,245.13208333333327,29.89527777777778,0.0972,2.5734e+14,X-ray_Lx_scaling,0.9376
J1621.0+2546,MCXC-I,245.255,25.771944444444443,0.161,2.0112e+14,X-ray_Lx_scaling,0.8452
